area,location,rooms,price
1360,CityCenter,3,9720895
1794,Outskirts,2,10365051
1630,CityCenter,3,11192088
1595,Suburb,3,9891305
2138,Suburb,4,13572728
2669,CityCenter,4,16666868
966,Outskirts,1,5500417
1738,Suburb,1,10547990
830,Suburb,2,6110123
1982,Suburb,1,11754826
2635,CityCenter,3,16041720
630,Suburb,4,5642892
2185,Outskirts,1,11289145
1269,Suburb,1,7880201
2891,Suburb,2,16007682
2015,Outskirts,2,10768482
2933,Suburb,3,16874780
1715,CityCenter,4,11231960
1455,CityCenter,2,9301188
2824,CityCenter,1,16528742
1684,Outskirts,4,10291404
959,Suburb,4,7286157
521,CityCenter,1,5127588
2800,Outskirts,2,15542997
1247,Suburb,1,7745072
974,Outskirts,4,6530310
1582,CityCenter,5,11387916
2547,CityCenter,5,16150333
1475,CityCenter,3,10363643
2306,Outskirts,1,12000796
689,Outskirts,1,4347276
1062,CityCenter,3,8184075
2399,Outskirts,3,13477690
1767,CityCenter,3,11818616
2028,CityCenter,4,12604320
1146,Suburb,1,6759611
2568,Outskirts,4,14507411
2714,CityCenter,3,16453354
1797,CityCenter,1,11362816
2935,Outskirts,4,16465704
1100,Suburb,4,8154869
2863,Suburb,3,16308737
2561,CityCenter,1,15011092
741,Outskirts,3,4625262
2541,Suburb,1,13594422
1863,Outskirts,5,11475647
2639,Outskirts,2,14613134
1890,CityCenter,2,12512411
1978,Suburb,2,11241632
1275,CityCenter,3,9183840
534,Suburb,5,5242700
2753,Suburb,1,15679219
2455,Suburb,4,14509458
2085,Suburb,1,12190378
1521,Suburb,4,9855991
1629,Outskirts,1,9290973
2000,CityCenter,5,13807973
1202,Outskirts,4,7759826
2949,Suburb,3,16338885
2079,CityCenter,1,12614271
661,Suburb,1,5051713
701,CityCenter,4,6968347
2481,Outskirts,3,13674904
1495,CityCenter,3,10272307
2817,CityCenter,5,17065738
1315,CityCenter,3,9908301
955,CityCenter,3,7940819
1775,CityCenter,3,11733876
1516,Suburb,2,9240040
2843,CityCenter,5,17063740
837,CityCenter,1,6338985
1378,Outskirts,4,8990333
1576,CityCenter,1,10474464
1291,Outskirts,5,8554210
2764,Suburb,4,16015584
1263,CityCenter,5,10053921
2735,Outskirts,3,14990584
879,Outskirts,4,5595592
992,Suburb,3,6858140
1680,CityCenter,1,10820935
2562,CityCenter,1,15446803
564,Outskirts,4,4087641
1867,CityCenter,4,12498126
1652,Outskirts,5,10237408
2527,CityCenter,5,15804624
1995,Outskirts,3,11521301
1662,CityCenter,4,11734210
2022,Suburb,1,11322792
891,CityCenter,5,8571527
2198,CityCenter,5,14394191
918,Suburb,1,5755994
2836,CityCenter,5,17537298
878,Suburb,3,6045350
2296,CityCenter,4,14512292
2778,Outskirts,1,14259773
2588,Outskirts,4,14582540
2682,CityCenter,5,16927242
700,CityCenter,5,6315159
2363,CityCenter,1,14084415
1279,Outskirts,3,7807640
1002,CityCenter,2,7764376
2954,Outskirts,1,15931390
2251,Suburb,2,13110406
1304,Outskirts,2,7433890
2646,Outskirts,3,14409076
2395,Suburb,2,13748851
2070,Outskirts,2,11285816
1460,CityCenter,3,9831583
1985,CityCenter,2,13237242
1528,Outskirts,2,8646782
1002,CityCenter,2,7422042
897,Outskirts,1,4627360
1370,CityCenter,1,9405420
892,CityCenter,1,6463619
706,Outskirts,3,4938586
1538,CityCenter,5,11480586
2381,Outskirts,2,12713319
1984,CityCenter,2,12543844
1363,CityCenter,3,10172136
1063,Suburb,2,6177975
1520,Suburb,1,8656848
595,Outskirts,5,4703637
2423,Suburb,4,14258928
2257,Outskirts,2,12370662
2778,Suburb,1,14871621
2178,CityCenter,4,13893687
1040,Outskirts,5,6968032
1559,Outskirts,4,9389763
1683,CityCenter,1,10780466
2222,Outskirts,4,13083169
2319,Outskirts,3,13311599
2097,Suburb,4,12881090
1295,Outskirts,2,7312807
1551,CityCenter,2,10354011
2143,Suburb,3,13327298
1863,Suburb,1,10919359
2481,CityCenter,2,14872848
1854,CityCenter,5,13244611
2163,Suburb,2,12298579
2029,Outskirts,2,11044479
2538,Suburb,1,14408719
1996,CityCenter,4,12787105
2737,Suburb,2,14710866
1908,CityCenter,3,12722385
1900,Suburb,4,11708307
1806,Outskirts,5,11068209
1472,Suburb,1,8551573
2268,Suburb,5,13768451
1782,CityCenter,4,11972567
1209,CityCenter,4,9057202
1979,CityCenter,4,12980426
1934,Suburb,5,12045964
1148,Outskirts,4,7191424
817,CityCenter,5,7421449
1757,CityCenter,4,11234172
1183,Suburb,3,8020392
1163,CityCenter,4,9132075
2498,Outskirts,5,14464527
2131,Outskirts,2,11826197
1995,CityCenter,4,13257073
1636,CityCenter,2,10562799
2353,Suburb,3,13505225
2020,Outskirts,1,11058494
2989,Outskirts,3,16407251
1063,CityCenter,4,9127996
1791,Suburb,2,11040883
2136,Outskirts,2,12059903
1198,Outskirts,5,7761479
2660,Suburb,2,14730632
501,Suburb,5,4704385
1141,Outskirts,1,6588927
2767,Outskirts,4,14712713
2089,Suburb,5,12807414
1354,Outskirts,1,7477985
2259,CityCenter,2,13437712
2932,CityCenter,2,17499320
2161,Suburb,1,11763257
1653,Suburb,2,9945322
1576,Suburb,1,10015133
